ID,Symbol,Name,Sector,Industry,Full Time Employees,CEO,Address,Description
11,ANET,Arista Networks Inc,Technology,Computer Systems,2300,Jayshree V. Ullal,"5453 Great America Parkway
Santa Clara, CA 95054
United States","Arista Networks, Inc. develops, markets, and sells cloud networking solutions in the Americas, Europe, the Middle East, Africa, and the Asia-Pacific. The company's cloud networking solutions consist of extensible operating systems, a set of network applications, as well as gigabit Ethernet switching and routing platforms, including universal leaf, spline, and universal spine products. It also provides post contract customer support services, such as technical support, hardware repair and parts replacement beyond standard warranty, bug fix, patch, and upgrade services. The company serves a range of industries comprising Internet companies, service providers, financial services organizations, government agencies, media and entertainment companies, and others. It markets and sells its products through distributors, value-added resellers, system integrators, and original equipment manufacturer partners, as well as through its direct sales force. The company was formerly known as Arastra, Inc. and changed its name to Arista Networks, Inc. in October 2008. Arista Networks, Inc. was founded in 2004 and is headquartered in Santa Clara, California."
12,ANSS,Ansys Inc,Technology,Software - Application,3400,Ajei S. Gopal,"2600 ANSYS Drive
Canonsburg, PA 15317
United States","ANSYS, Inc. develops and markets engineering simulation software and services worldwide. The company offers ANSYS Workbench, a framework upon which the company's engineering simulation technologies are built; ANSYS multiphysics software to simulate the interactions between structures, heat transfer, fluids, and electronics in a unified engineering simulation environment; and structural analysis product suite that provides simulation tools for product design and optimization. It also provides fluids product suite that enables modeling of fluid flow and other related physical phenomena; and electromagnetics product suite, which provides field simulation software for designing electronic. In addition, the company offers power analysis and optimization software suite that manages the power budget, power delivery integrity, and power-induced noise in an electronic design; SCADE product suite, a solution for embedded software simulation, code production, and automated certification; system simulation capability for the design of automated products; and high-performance computing product suite, which delivers cross-physics parallel processing capabilities for simulation software. Further, it provides Discovery product family for use in the simulation of product design; academic product suite with a portfolio of academic products based on associate, research, and teaching; ANSYS Fluent that enhance workflow process; and ANSYS medini analyze, a suite for functional safety analysis. The company serves engineers, designers, researchers, and students in the aerospace and defense, automotive, electronics, semiconductors, energy, materials and chemical processing, turbomachinery, consumer products, healthcare, and sports industries and academia. ANSYS, Inc. was founded in 1970 and is headquartered in Canonsburg, Pennsylvania."
13,APH,Amphenol Corporation,Technology,Electronic Components,73600,Richard Adam Norwitt,"358 Hall Avenue
PO Box 5030
Wallingford, CT 06492
United States","Amphenol Corporation, together with its subsidiaries, primarily designs, manufactures, and markets electrical, electronic, and fiber optic connectors worldwide. It operates through two segments, Interconnect Products and Assemblies, and Cable Products and Solutions. The Interconnect Products and Assemblies segment offers connector and connector systems, including fiber optic, harsh environment, high-speed, and radio frequency interconnect products, as well as antennas; power interconnect products, busbars, and distribution systems; and other connectors. It also provides value-add products, such as backplane interconnect systems, cable assemblies and harnesses, and cable management products; and other products comprising antennas, flexible and rigid printed circuit boards, hinges, molded parts, production-related products, sensors and sensor-based products, and switches. The Cable Products and Solutions segment offers coaxial, power, and specialty cables; cable assemblies; and components, which include combiner/splitter products, connector and connector systems, and fiber optic components. The company sells its products through its sales force, independent representatives, and a network of electronics distributors to original equipment manufacturers, electronic manufacturing services companies, original design manufacturers, and service providers in the automotive, broadband communication, commercial aerospace, industrial, information technology and data communication, military, mobile device, and mobile network markets. Amphenol Corporation was founded in 1932 and is headquartered in Wallingford, Connecticut."
14,AVGO,Broadcom Inc,Technology,Semiconductors,15000,Hock E. Tan,"1320 Ridder Park Drive
San Jose, CA 95131
United States","Broadcom Inc. designs, develops, and supplies a range of semiconductor devices with a focus on complex digital and mixed signal complementary metal oxide semiconductor based devices and analog III-V based products worldwide. The company operates through four segments: Wired Infrastructure, Wireless Communications, Enterprise Storage, and Industrial & Other. The Wired Infrastructure segment provides set-top box system-on-chips (SoCs); cable, digital subscriber line, and passive optical networking central office/consumer premise equipment SoCs; Ethernet switching and routing application specific standard products; embedded processors and controllers; serializer/deserializer application specific integrated circuits; optical and copper, and physical layers; and fiber optic laser and receiver components. The Wireless Communications segment offers RF front end modules, filters, and power amplifiers; Wi-Fi, Bluetooth, and global positioning system/global navigation satellite system SoCs; and custom touch controllers. The Enterprise Storage segment provides serial attached small computer system interface, and redundant array of independent disks controllers and adapters; peripheral component interconnect express switches; fiber channel host bus adapters and switches; read channel based SoCs; custom flash controllers; and preamplifiers. The Industrial & Other segment offers optocouplers, industrial fiber optics, motion control encoders and subsystems, and light emitting diodes. The company's products are used in various applications, including enterprise and data center networking, home connectivity, set-top boxes, broadband access, telecommunication equipment, smartphones and base stations, data center servers and storage systems, factory automation, power generation and alternative energy systems, and electronic displays. Broadcom Inc. is headquartered in San Jose, California."
15,BR,Broadridge Financial Solutions Inc,Industrials,Business Services,11000,Timothy C. Gokey,"5 Dakota Drive
Suite 300
Lake Success, NY 11042
United States","Broadridge Financial Solutions, Inc. provides investor communications and technology-driven solutions for the financial services industry worldwide. The company's Investor Communication Solutions segment processes and distributes proxy materials to investors in equity securities and mutual funds, as well as facilitates related vote processing services; and offers ProxyEdge, an electronic proxy delivery and voting solution. It also distributes regulatory reports and corporate action/reorganization event information, as well as tax reporting solutions; and provides end-to-end platform for content management, composition, and multi-channel distribution of regulatory, marketing, and transactional information, as well as mutual fund trade processing services. In addition, this segment offers registered proxy, registrar, stock transfer, and record-keeping services; customer communication solutions; cloud-based marketing and customer communication tools; and customer and account data aggregation and reporting services, as well as creates sales and educational content, including seminars and a library of financial planning topics. Further, it provides mutual fund and retirement, and mutual fund trade processing services; and customizable advisor Websites, search engine marketing, and electronic and print newsletters. The company's Global Technology and Operations segment offers desktop productivity tools, data aggregation, performance reporting, portfolio management, order capture and execution, trade confirmation, margin, cash management, clearance and settlement, asset servicing, reference data management, reconciliations, securities financing and collateral optimization, compliance and regulatory reporting, and accounting. It also provides capital market, wealth management, asset management, and international securities processing solutions, as well as managed services. The company was founded in 1962 and is headquartered in Lake Success, New York."
16,CDNS,Cadence Design Systems Inc,Technology,Software - Application,7500,Lip-Bu Tan,"2655 Seely Avenue
Building 5
San Jose, CA 95134
United States","Cadence Design Systems, Inc. provides software, hardware, services, and reusable integrated circuit (IC) design blocks worldwide. The company offers functional verification services, including emulation and prototyping hardware. Its functional verification offering consists of JasperGold, a formal verification platform; Xcelium, a parallel simulation platform; Palladium Z1, an enterprise emulation platform; and Protium S1 field-programmable gate array prototyping platform. The company also provides digital IC design products, such as logic design products for chip planning, design, verification, and test technologies and services; physical implementation tools, including place and route, signal integrity, optimization, and multiple patterning preparation; and signoff products to signoff the design as ready for manufacture by a silicon foundry, as well as design for manufacturing products for use in the product development process. In addition, it offers custom IC design and simulation products to create schematic and physical representations of circuits down to the transistor level for analog, mixed-signal, custom digital, memory, and radio frequency designs; and system interconnect design products to develop printed circuit boards and IC packages. Further, the company provides design intellectual property (IP) products consisting of pre-verified and customizable functional blocks to integrate into customer's ICs; and verification IP and memory models for use in system-level verification to model correct behavior of full systems interacting with their environments. Additionally, it offers services related to methodology, education, and hosted design solutions, as well as technical support and maintenance services. Cadence Design Systems, Inc. was founded in 1988 and is headquartered in San Jose, California."
17,CDW,CDW Corporation,Technology,Information Technology Services,9843,Christine A. Leahy,"75 Tri-State International
Lincolnshire, IL 60069
United States","CDW Corporation provides integrated information technology (IT) solutions to business, government, education, and healthcare customers in the United States, the United Kingdom, and Canada. It operates through three segments: Corporate, Small Business, and Public. The company offers discrete hardware and software products, as well as integrated IT solutions, including mobility, security, data center optimization, cloud computing, virtualization, and collaboration. Its hardware products comprise notebooks/mobile devices, network communications, desktop computers, video monitors, enterprise and data storage products, printers, and servers; and software products include application suites, security, virtualization, operating systems, and network management. The company also provides warranties, managed services, and consulting design and implementation services. CDW Corporation was founded in 1984 and is based in Lincolnshire, Illinois."
18,CRM,salesforce.com Inc,Technology,Software-Cloud computing ,35000,Marc Russell Benioff,"Salesforce Tower
San Francisco California 94105","salesforce.com, inc. engages in the design and development of cloud-based enterprise software for customer relationship management. Its solutions include sales force automation, customer service and support, marketing automation, digital commerce, community management, collaboration, industry-specific solutions, and salesforce platform. The firm also provides guidance, support, training, and advisory services. The company was founded by Marc Russell Benioff, Parker Harris, David Moellenhoff, and Frank Dominguez in February 1999 and is headquartered in San Francisco, CA."
19,CSCO,Cisco Systems Inc,Technology,Communication Equipment,75900,Charles H. Robbins,"170 West Tasman Drive
San Jose, CA 95134
United States","Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry worldwide. The company offers switching products; routing products that interconnect public and private wireline and mobile networks; data center products; and wireless access points for use in voice, video, and data applications. It also provides collaboration products comprising unified communications, TelePresence, and conferencing, as well as the Internet of Things and analytics software. In addition, the company offers security products, including network security, cloud and email security, identity and access management, advanced threat protection, and unified threat management products; and other products, and cloud and system management products. Further, it offers software-defined wide area networking products; technical support services and advanced services; and hyperconvergence software, cloud calling and contact center solutions, and AI-driven relationship intelligence platform. The company serves businesses of various sizes, public institutions, governments, and service providers. It sells its products directly, as well as through channel partners, such as systems integrators, service providers, other resellers, and distributors. Cisco Systems, Inc. was founded in 1984 and is headquartered in San Jose, California."
20,CTSH,Cognizant Technology Solutions Corporation,Technology,Information Technology Services,289900,Brian Humphries,"Glenpointe Centre West
500 Frank West Burr Boulevard
Teaneck, NJ 07666
United States","Cognizant Technology Solutions Corporation, a professional services company, provides consulting and technology, and outsourcing services worldwide. The company operates through four segments: Financial Services; Healthcare; Products and Resources; and Communications, Media and Technology. It offers analytics and artificial intelligence, digital engineering, intelligent process automation, interactive, and hybrid cloud services and solutions; and application development, systems integration, application testing and maintenance, infrastructure, and business process services. The company also develops, licenses, implements, and supports proprietary and third-party software products and platforms for the healthcare industry. In addition, it offers revenue cycle management solutions to the healthcare industry; business advisory and data analytics services; and salesforce services. Further, the company develops custom cloud-based software and platforms; and provides consulting services that enable companies to plan, implement, and optimize automated cloud-based business processes and technologies. It serves banking and insurance, healthcare and life sciences, retail and consumer goods, manufacturing and logistics, travel and hospitality, energy and utilities, communications and media, and technology industries. The company markets and sells its services through professional staff, senior management, and direct sales personnel. Cognizant Technology Solutions Corporation was founded in 1994 and is headquartered in Teaneck, New Jersey."
21,CTXS,Citrix Systems Inc,Technology,Software - Infrastructure,8200,David James Henshall,"851 West Cypress Creek Road
Fort Lauderdale, FL 33309
United States","Citrix Systems, Inc. provides workspace, networking, and analytics solutions worldwide. The company offers workspace services, including Citrix Virtual Apps and Desktops, a cloud-enabled app and desktop virtualization solution that gives customers the flexibility to deliver desktops and applications as a service from cloud and on-premises datacenters; and Citrix Virtual Apps that allows Windows and Linux applications to be remotely delivered to Macs, PCs, thin clients, and Android/iOS mobile devices from any cloud, on-premises datacenter, or both. Its workspace services also comprise Citrix Endpoint Management enterprise mobility management solutions; and Citrix Workspace Suite, which provides apps, desktops, branch networking and WAN, enterprise mobility management, and data people need for business productivity. In addition, the company offers networking products comprising Citrix ADC, a software-defined application delivery controller designed for organizations undergoing digital transformation; and Citrix SD-WAN that enhances applications delivered from the legacy data center, cloud, or SaaS. Further, it provides content collaboration offerings that include Citrix Content Collaboration, a cloud-based file sharing and storage solution, which provides enterprise-class data services on various corporate and personal mobile devices for businesses. Additionally, the company offers support, hardware maintenance, professional consulting, and product training and certification services. It markets and licenses its products through resellers, distributors, systems integrators, independent software vendors, original equipment manufacturers, and service providers. The company was formerly known as Citrus Systems, Inc. Citrix Systems, Inc. was founded in 1989 and is headquartered in Fort Lauderdale, Florida."
22,DXC,Dxc Technology Company,Technology, Information Technology Services,130000,Michael J. Salvino,"1775 Tysons Boulevard
Tysons, VA 22102
United States","DXC Technology Company, together with its subsidiaries, provides information technology services and solutions primarily in North America, Europe, Asia, and Australia. It operates in two segments, Global Business Services (GBS) and Global Infrastructure Services (GIS). The GBS segment offers technology solutions comprising enterprise, cloud application, and consulting services; application services; analytics services; business process services; and industry software and solutions. The GIS segment provides cloud and platform services; workplace, mobility, and Internet of Things services; and security solutions. The company was formerly known as Computer Sciences Corporation and changed its name to DXC Technology Company in April 2017 as a result of its merger with the Enterprise Services business of Hewlett Packard Enterprise Company. DXC Technology Company was founded in 1959 and is headquartered in Tysons, Virginia."
23,FFIV,F5 Networks Inc,Technology,Software - Infrastructure,5091,Franois Locoh-Donou,"401 Elliott Avenue West
Seattle, WA 98119
United States","F5 Networks, Inc. develops, markets, and sells application delivery networking products that optimize the security, performance, and availability of network applications, servers, and storage systems. The company's primary application delivery technology is Traffic Management Operating System that enable company's products to intercept, inspect, and act on the contents of traffic. It offers Local Traffic Manager, which provides load balancing, traffic management, and application health checking; BIG-IP DNS that automatically directs users to the closest physical, virtual, or cloud environment; Advanced Firewall Manager, a network firewall; and Application Security Manager, a Web application firewall that provides application-layer protection against generalized and targeted attacks. The company also offers Access Policy Manager, which provides secure, granular, and context-aware access to networks and applications; Carrier-Grade Network Address Translation, which offers a set of tools that enables service providers to migrate to IPv6 while continuing to support and interoperate with existing IPv4 devices and content; and Policy Enforcement Manager that offers traffic classification capabilities to identify the specific applications and services to service providers, as well as Link Controller. In addition, it offers cloud-based and other subscription services; BIG-IP appliances; VIPRION chassis-based systems; BIG-IP Virtual Edition software platform; and management and orchestration software platform. The company sells its products to enterprise customers and service providers through distributors, value-added resellers, managed service providers, and systems integrators in the Americas, Europe, the Middle East, Africa, Japan, and the Asia Pacific Region. F5 Networks, Inc. has a strategic collaboration agreement with Amazon Web Services for using cloud-native application workloads. The company was founded in 1996 and is headquartered in Seattle, Washington."
24,FIS,Fidelity National Information Services Inc,Industrials,Business Services,55000,Gary Adam Norcross,"601 Riverside Avenue
Jacksonville, FL 32204
United States","Fidelity National Information Services, Inc. operates as a financial services technology company in the United States and internationally. It operates through Integrated Financial Solutions and Global Financial Solutions segments. The Integrated Financial Solutions segment offers core processing and ancillary applications; digital solutions, including Internet, mobile, and e-banking; fraud, risk management, and compliance solutions; electronic funds transfer and network services; card and retail solutions; corporate liquidity and wealth management services; item processing and output services; government payments solutions; and e-payment solutions. The Global Financial Solutions segment securities processing and finance, global trading, asset management and insurance, and retail banking and payment services. The company was founded in 1968 and is headquartered in Jacksonville, Florida."
25,FISV,Fiserv Inc,Industrials,Business Services,24000,"Jeffery W. Yabuki B.S., CPA","255 Fiserv Drive
Brookfield, WI 53045
United States","Fiserv, Inc., together with its subsidiaries, provides financial services technology worldwide. The company's Payments and Industry Products segment provides electronic bill payment and presentment services; Internet and mobile banking software and services; account-to-account transfers; person-to-person payment services; debit and credit card processing and services; payments infrastructure services; and other electronic payments software and services. This segment also offers card and print personalization services; investment account processing services for separately managed accounts; and fraud and risk management products and services. Its Financial Institution Services segment provides account processing, item processing and source capture, loan origination and servicing products, cash management and consulting services, and other products and services that support various types of financial transactions. This segment also provides ACH and treasury management, case management and resolution, and source capture optimization services to the financial services industry. The company also provides bank payment and liquidity management solutions, as well as Internet based mortgage software and mortgage lending technology solutions. It serves banks, credit unions, investment management firms, leasing and finance companies, billers, retailers, and merchants. The company was founded in 1984 and is headquartered in Brookfield, Wisconsin."
26,FLIR,Flir Systems Inc,Technology,Scientific & Technical Instruments,3649,James J. Cannon,"27700 South West Parkway Avenue
Wilsonville, OR 97070
United States","FLIR Systems, Inc. designs, develops, markets, and distributes thermal imaging systems, visible-light imaging systems, locater systems, measurement and diagnostic systems, and threat-detection solutions worldwide. The company operates in three segments: Industrial Business Unit, Government and Defense Business Unit, and Commercial Business Unit. The Industrial Business Unit segment offers thermal and visible-spectrum imaging cores and components for parties that create thermal, industrial, and other types of imaging systems; and products, such as thermal imaging cameras, gas detection cameras, firefighting cameras, process automation cameras, and environmental test and measurement devices. The Government and Defense Business Unit segment offers airborne, land, maritime, man-portable multi-spectrum imaging systems, radars, lasers, imaging components, integrated multi-sensor system platforms, CBRNE detectors, and nano-class UAS solutions, as well as services related to these systems. The Commercial Business Unit segment provides thermal and visible-spectrum security cameras, digital and networked video recorders, and related software and accessories; networked marine electronic systems that include multi-function helm displays, navigational instruments, autopilots, radars, sonar systems, thermal and visible imaging systems; communications equipment for boats, traffic cameras, sensors and associated traffic management software; and thermal scopes and handheld thermal cameras. FLIR Systems, Inc. was founded in 1978 and is headquartered in Wilsonville, Oregon."
